"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=839",199.826576329533,210.298299140644,211.803176919612,234.840967104055,225.397439577349,265.189986259569,2,2
"iRep=840",221.018040772123,231.489763583233,224.556925711959,247.594715896402,232.85448893962,272.64703562184,2,2
"iRep=841",225.301571693711,235.773294504822,236.615435772727,259.65322595717,252.61311318498,292.4056598672,2,2
"iRep=842",238.773924465745,249.245647276856,245.049481227245,268.087271411688,254.729249502476,294.521796184696,2,2
"iRep=843",216.795742381953,227.267465193063,225.610027798123,248.647817982566,240.186537656486,279.979084338706,2,2
"iRep=844",224.12152645513,234.59324926624,231.123916160298,254.161706344741,243.861794414564,283.654341096784,2,2
"iRep=845",219.841158412096,230.312881223207,225.789642391535,248.827432575978,238.668258500771,278.460805182991,2,2
"iRep=846",212.8347659109,223.30648872201,221.949260754419,244.987050938862,236.175289914693,275.967836596913,2,2
"iRep=847",216.729722067466,227.201444878577,226.167916081998,249.205706266442,240.556271658693,280.348818340913,2,2
"iRep=848",218.663640113378,229.135362924489,225.291901556129,248.329691740572,231.708307731455,271.500854413675,2,2
"iRep=849",224.947617871835,235.419340682946,234.212080236687,257.24987042113,243.778651583378,283.571198265598,2,2
"iRep=850",201.104093929838,211.575816740949,205.941765700027,228.97955588447,215.93139108655,255.72393776877,2,2
"iRep=851",203.172715440466,213.644438251576,212.567408809718,235.605198994162,228.036959279978,267.829505962197,2,2
"iRep=852",205.981189112727,216.452911923838,216.303031931658,239.340822116101,230.911427386097,270.703974068317,2,2
"iRep=853",196.650396222668,207.122119033779,208.652913208135,231.690703392578,221.364890043337,261.157436725557,2,2
"iRep=854",223.708547998952,234.180270810062,233.159909283364,256.197699467807,245.193887594401,284.98643427662,2,2
"iRep=855",198.949708656512,209.421431467622,206.534179815291,229.571969999734,218.289123910216,258.081670592436,2,2
"iRep=856",216.2104889611,226.68221177221,226.280397503719,249.318187688162,242.136412681511,281.928959363731,2,2
